to mutilate; mutilar
old;anciano
sabotage - male;sabotaje
the art;el arte
to rise early;madrugar
to direct, lead;dirigir
they happen at the same time;se realizan al mismo tiempo
the environment;el medio ambiente
the mathematics;las matemáticas
careless with cuidar;descuidado
the jungle;la jungla
the music;la música
the chemistry;la química
the farmer;la campesina (f)
the hole punch;la perforadora
tongue;lengua
to complain about;quejarse de
mess;lio
to raise awareness of;concienciar
to judge;juzgar
the goose;el ganso
to break down;tener una avería
the monthly ticket;el abono mensual
to shave;afeitarse
the cherry;la cereza
delicious;delicioso
return ticket;billete de ida y vuelta
dart - noun;dardo
the judge;el juez (m)
to raise - as in steep;empinar
the sympathy;la compasión
cut short, bring down;tronchar
the cream;la crema
the necklace;el collar
tell, let someone know;avisar a alguien
to water;regar
the well;el pozo
weatherproof clothing;la ropa impermeable
the RE religious education;la religión
the geography;la geografía
the election campaign;la campaña electoral
to spell - not escribir;deletrear
following, next;siguiente
to splash;chapotear
through - adv;a través
the thick socks;los calcetines gordos
cleaning;limpieza
the wagon;el vagón
to narrow;estrechar
dawn;aurora
the old woman;la anciana
straightaway;en seguida
cutlery;los cubiertos
small bell, cowbell;esquila
the English;el inglés
disinherit;desheredar
the nurse;la enfermera (f)
to discuss;discutir
while we wait;mientras esperamos
pocket;bolsillo
to grieve;estar de luto
the thunder;el trueno
the public transport;el transporte público
the friend of a friend;el amigo de un amigo
to log in;iniciar la sesión
achievement;logro
pie;empanada
the classroom;el aula
initiate, launch, start, log in;iniciar
integration of functions;integración de funciones
meat stew;carne guisada
head of household;jefe de hogar
to chat;charlar
copper - male;cobre
pistol;pistola
investment;inversión
risk factors;Factores de riesgo
pressure;presión
entry - not entrada;ingreso
bold, daring;atrevido
encourage, incentivise;incentivar
shortcoming, failing;falencia
firearm;arma de fuego
wall;muro
splendour;esplendor
controversial, polemical;polémico
bathing suit;bañador
oil - m;aceite
early detection;detección temprana
submerge, immerse;sumergir
how disgusting;qué asco
to pierce, puncture;pinchar
loose, lazy;flojo
to scatter, disperse;dispersar
promote;promover
the social policy;la política social
to sign;firmar
to tan lit. to bronze;broncearse
the block of houses;la cuadra
Is it the right size?;¿Es la talla adecuada?
How much?;¿Cuánto es?
to peel the potato;pelar la papa
the lyrics lit. letters;las letras
click the button;Pulsa el botón
battle;batalla batallar
logic;lógica
heir;heredero
fireplace, hearth;chimenea
I tried to pick her up, chatted her up;He tratado de ligar con ella
figures;cifras
the disguise;el disfraz
proverb - not refran;proverbio
disappearance;desaparición
hill, height - not colina;cerro
boost, propel;impulsar
the apprentice;la aprendiza (f)
the roof;el tejado
jealous;celoso
to vanish;desaparecer
the burn;la quemadura
old codger;vejete
mystery;misterio
deep;hondo
solitary fisherman;pescador solitario
fridge;la nevera
coexistence;convivencia
background, antecedents;el fondo
to stipulate;estipular
to arm, assemble;armar
the factory;la fábrica
to resolve;resolver
weak, frail;débil
the lamp;la lámpara
the stranger;el desconocido (m)
the sail;la vela
the jogger;el corredor de footing
the waltz;el vals
to save;ahorrar
twilight;crepúsculo
resources;recursos
to revise;revisar
rent, hire;alquilar
to make aware;concienciar
to hum;tararear
artichoke;alcachofa
complaint;denuncia
annoying noise;ruido molesto
the sector;el sector
to paste, to hit;pegar
the electrician;el electricista (m)
to govern;gobernar
ready, prepared;dispuesto
to slip, skid, slide;resbalar
way - noun and preposition;vía
to derive;derivar
acoustic;acústico
maltreatment, to maltreat;maltrato maltratar
to assign;asignar
study as in resaerch;estudio
antecedent;antecedente
hip;cadera
arrow;flecha
to go shopping;hacer la compra
melodic;melodioso
round;redondo
the justice;la justicia
the turnip;el nabo
the editor;el redactor (m)
office;despacho
heritage, birthright;patrimonio
reopen;reabrir
business, affair, matter, issue;asunto
avocadro;palta
busybody, gossip;cotilla
rate, fare - noun;tarifa
to run into somebody;toparse con
to stroll;dar un paseo
the headline;el titular
embezzlement;malversación
excuse;excusa
to guess;adivinar
the prime of life;la flor de la vida
the spring;la fuente
the classified ad;el clasificado
the daily paper;el diario
the leech;la sanguijuela
pale;pálido
the audience;el público
the gears;la marcha
royal palace;palacio real
to centre;centrar
to empty;vaciar
the nail scissors;las tijeras de manicura
the grassroots movement;el movimiento popular
the mast;el mástil
to lie down;echarse
to tie, fasten;atar
citizen;ciudadano
site, place;sitio
rainy;lluvioso
pregnancy;preñez
the begnning;El inicio
pain, sorrow;pena
deputy;diputado
fruity;afrutado
the symbol;el símbolo
the inspector;la controladora (f)
the eel;la anguila
to overtake;adelantar
a sharp pain;un dolor agudo
beans;judias
brain;cerebro
to put;meter
the headlight;el faro
to sabotage;sabotear
to divulge;divulgar
hesitant, vacillating;vacilante
old, ancient;antiguo
to embitter;amargar
He complained furiously.;Se quejó furiosamente
box;caja
the others - people;los demás
relaxed;relajado
to resume;retomar
tape recorder;grabadora
to chose - stem changing;elegir
inlet, cove;ensenada
the brown spots;las manchas pardas
wake - of ship, comet;estela
judgmental;juzgatorio
amazed;asombrado
endow bequeath;legar
veggie garden;huerta
the pond;el estanque
to brush;cepillar
to bruise;magullar
the bridge;el puente
the knowledge;el conocimiento
the witness;el testigo (m)
to validate;picar
to gain;adquirir
the gist;lo esencial
to borrow;pedir prestado
account - incl. computer account;cuenta
the means;los medios
clue;pista
willingly;gustoso
technical features;rasgos técnicos
the pupil;el alumno (m)
such, suchlike;tal
stage, phase;etapa
to sum, add up;sumar
raisin;pasa
inhabited;habitado
I didn't know that;No sabía eso
self esteem, pride;amor proprio
wasps nest;avispero
sunset - not ocaso;puesta del sol
regulatory framework;marco normativo
segmentation;segmentación
to fragment;fragmentar
the cases that occur - with producir in subj;los casos que se produzcan
to cuddle;acurrucarse
tit for tat;tal para cual
the nephew;el sobrino
an immense bunch of roses;un inmenso ramo de rosas
the paper, role;el papel
related;pariente
the editor;la redactora (f)
suggestion;sugerencia
plenty - noun;abundancia
polite, courteous;cortés
strength;fuerza
to embezzle;malversar
attached;apegado
the snow;la nieve
to support;mantener
to record;grabar
the friendship;la amistad
the peak;la cumbre
the belief;la creencia
scarce;escaso
to bristle;erizar
to lock - not bloquear;trabar
flock, herd;rebaño
marvel;maravilla
the fear;el miedo
the stereotype;el estereotipo
to beat,hit with a stick;bastonear
the frame;el marco
the cramp;el calambre
essential, indispendable;imprescindible
the signal;la señal
a long wait;una larga espera
to face, come face to case with;enfrentar
eddy;remolino
to persuade;convencer
the wilderness;la naturaleza salvaje
the dusk;el atardecer
lawsuit, suit;pleito
pity;lástima
hole - noun 4 letters;hoyo
dreadful, dismal;tétrico
glad;contento
the rear-view mirror;el retrovisor
zenith;cenit
the relatives;los parientes
to trust;tener confianza
embarassment, shame;bochorno
hike, ramble - noun;caminata
to feel like;tener ganas de
cloudy;nublado
confused;confundido
tail - not cola;rabo
to forecast, predict;pronosticar
the prejudice;el prejuicio
a pair of earrings;un par de pendientes
to displace;desplazar
row - noun eg of houses;hilera
to trace;trazar
beast;bestia
vague;vago
to shrug one's shoulders;encogerse de hombros
the indicator;el intermitente
the old age;la vejez
unexpected;imprevisto
depend;depender
season as in football;temporada
scandal;escandalosa
to prevent;prevenir
to mean;significar
so much, many;tanto
manager, admistrator;administrador
the nod;la inclinación de cabeza
phosphoresence;fosforescencia
hire someone;contratar a
hardly;apenas
to mean;significar
holyhock;malvarrosa
to summarize;resumir
chest cold;resfriado de pecho
shell, c-nt;concha
the oak tree;el roble
uninhabited;deshabitado
to provide, dispose;disponer
the approach;el abordaje
to deceive, cheat;engañar
the work, toil;la labor
to moan, groan;gemir
to move, not mover - eg to move house;mudar
misleading;engañoso
to dress up;disfrazarse
meaning;significado
the riverbed;el lecho del río
to feed;alimentar
the sparkling wine;el vino espumoso
worker, labourer;obrero
scheme, schema;esquema
to warn;advertir
to damage;estropear
tent;tienda de campaña
to hurry;darse prisa
the grammar;la gramática
to slow down;desacelerar
to light;encender
He resumed running;Retomó el correr
to handle, maneuvre;maniobrar
the ashes;las cenizas
the computer;el ordenador
the faux pas;el paso en falso
to approve;aprobar
discoverer;descubridor
load, burden;cargo
